config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-cgl,Disjoint/16-8-2,16,2,59181544,5000056141,11836175,0,1
zstm-ala,Counter,1,3,532720057,5000643384,106530303,0,1
rstm-norec,Counter,1,3,316693525,5000003342,63338662,0,1
rstm-cgl,Counter,1,3,209910824,5000002002,41982147,0,1
zstm-ala,Counter,2,3,90804071,5000979259,18157258,18749759,1
rstm-norec,Counter,2,3,35331090,5000004603,7066211,16027153,1
rstm-cgl,Counter,2,3,101631146,5000001274,20326224,0,1
zstm-ala,Counter,4,3,60033246,5000677279,12005023,13385167,1
rstm-norec,Counter,4,3,25830760,5000003637,5166148,25108928,1
rstm-cgl,Counter,4,3,72003205,5000024823,14400569,0,1
zstm-ala,Counter,8,3,32816001,5001598582,6561102,20450315,1
rstm-norec,Counter,8,3,13852434,5000006003,2770483,30067506,1
rstm-cgl,Counter,8,3,64477506,5000046037,12895382,0,1
zstm-ala,Counter,16,3,25991054,5000515434,5197674,20060506,1
rstm-norec,Counter,16,3,10561527,5000006506,2112302,33451250,1
rstm-cgl,Counter,16,3,46107837,5000050843,9221473,0,1
zstm-ala,ReadNWrite1/m256,1,3,234074235,5000131432,46813616,0,1
rstm-norec,ReadNWrite1/m256,1,3,151730118,5000005641,30345989,0,1
rstm-cgl,ReadNWrite1/m256,1,3,122589790,5000002271,24517946,0,1
zstm-ala,ReadNWrite1/m256,2,3,63201890,5000751082,12638479,1496014,1
rstm-norec,ReadNWrite1/m256,2,3,42528545,5000004310,8505701,755190,1
rstm-cgl,ReadNWrite1/m256,2,3,112863706,5000038894,22572565,0,1
zstm-ala,ReadNWrite1/m256,4,3,45643856,5000281791,9128256,3181052,1
rstm-norec,ReadNWrite1/m256,4,3,25418677,5000001180,5083734,1541974,1
rstm-cgl,ReadNWrite1/m256,4,3,97620098,5000020870,19523938,0,1
zstm-ala,ReadNWrite1/m256,8,3,42376473,5002144279,8471661,1212772,1
rstm-norec,ReadNWrite1/m256,8,3,15152140,5000002741,3030426,2324844,1
rstm-cgl,ReadNWrite1/m256,8,3,88778497,5000043376,17755545,0,1
zstm-ala,ReadNWrite1/m256,16,3,36266774,5000742590,7252277,1367260,1
rstm-norec,ReadNWrite1/m256,16,3,12059779,5000007704,2411952,3658250,1
rstm-cgl,ReadNWrite1/m256,16,3,50660219,5000066411,10131909,0,1
zstm-ala,ReadNWrite1/m4096,1,3,235348712,5000330762,47066628,0,1
rstm-norec,ReadNWrite1/m4096,1,3,149965713,5000002024,29993130,0,1
rstm-cgl,ReadNWrite1/m4096,1,3,121243706,5000001883,24248732,0,1
zstm-ala,ReadNWrite1/m4096,2,3,68126565,5000227557,13624692,101562,1
rstm-norec,ReadNWrite1/m4096,2,3,37395462,5000001131,7479090,47813,1
rstm-cgl,ReadNWrite1/m4096,2,3,104965915,5000006028,20993157,0,1
zstm-ala,ReadNWrite1/m4096,4,3,57368284,5000873685,11471652,46461,1
rstm-norec,ReadNWrite1/m4096,4,3,25047982,5000000842,5009595,100006,1
rstm-cgl,ReadNWrite1/m4096,4,3,89805575,5000027226,17961017,0,1
zstm-ala,ReadNWrite1/m4096,8,3,37319961,5001766535,7461356,320621,1
rstm-norec,ReadNWrite1/m4096,8,3,18219545,5000006657,3643904,184293,1
rstm-cgl,ReadNWrite1/m4096,8,3,76885533,5000081368,15376856,0,1
zstm-ala,ReadNWrite1/m4096,16,3,33253878,5002693666,6647194,473214,1
rstm-norec,ReadNWrite1/m4096,16,3,12549862,5000005271,2509969,299366,1
rstm-cgl,ReadNWrite1/m4096,16,3,62808734,5000069162,12561573,0,1
zstm-ala,ReadWriteN/m256,1,3,131102782,5000339331,26218777,0,1
rstm-norec,ReadWriteN/m256,1,3,113270097,5000004544,22653998,0,1
rstm-cgl,ReadWriteN/m256,1,3,109755103,5000000797,21951017,0,1
zstm-ala,ReadWriteN/m256,2,3,38586106,5000884590,7715856,4366702,1
rstm-norec,ReadWriteN/m256,2,3,32020923,5000001973,6404182,4507580,1
rstm-cgl,ReadWriteN/m256,2,3,100862607,5000043443,20172346,0,1
zstm-ala,ReadWriteN/m256,4,3,23977567,5002256600,4793350,11360696,1
